Lauf,N,Mittelwert,Median,StdAbw,Min,Max,P95,P99,MaxAbwSoll,Bahnzeit_s
Run 1,291,99.9977068728522,99.9618999999994,0.414785147400766,99.0452000000026,100.950099999999,100.716975,100.932836999998,0.954799999997391,11.7999237
Run 2,222,100.001814864865,99.9818999999991,0.40751080590251,98.8094000000004,101.357799999999,100.68816,101.01618,1.35779999999883,11.8002323
Run 3,215,99.9972148837209,99.9697000000008,0.381573277050022,99.0752999999991,100.860099999999,100.6025,100.780360000001,0.924700000000911,11.7998904
Run 4,242,100.002711570248,99.9794499999993,0.409617940436089,99.1396000000009,100.9879,100.66202,100.829912,0.987899999999797,11.7996953
Run 5,182,100.001303296703,99.96975,0.393063888906758,99.0796999999999,100.8156,100.660039999998,100.77418,0.920300000000111,11.7999901
Gesamt (gepoolt),1152,100.000026215278,99.9723999999997,0.40216501595654,98.8094000000004,101.357799999999,100.65792,100.913259999999,1.35779999999883,11.79994636
