Lauf,N,Mittelwert,Median,StdAbw,Min,Max,P95,P99
Run 1,440,17.4400759090909,16.645,7.4416246615587,12.0225,132.3484,19.7815499999997,65.20905
Run 2,447,17.1374089485459,16.6503000000002,5.00483636517338,12.1363000000001,68.9011000000002,19.3081149999996,26.2342029999986
Run 3,438,17.4987244292237,16.4704000000003,7.76774942398642,12.0693000000003,142.834000000001,20.0948399999998,60.4148639999999
Run 4,446,17.1687437219731,16.5616499999999,5.09358990991385,13.1378,69.8504,19.7899400000001,27.3617480000009
Run 5,447,17.1304064876957,16.5893000000001,4.9891044981877,12.0257000000001,69.3965000000003,19.4369299999999,23.437995999999
Gesamt (gepoolt),2218,17.2736915689811,16.5772499999999,6.17566065949048,12.0225,142.834000000001,19.6307800000001,36.8576480000056
